"","YearStart","LocationDesc","Class","Question","Data_Value","StratificationCategory1","Stratification1"
"1",2012,"National","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.4,"Gender","Female"
"2",2012,"National","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",9.7,"Race/Ethnicity","Asian"
"3",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",33,"Total","Total"
"4",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.8,"Gender","Male"
"5",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34.1,"Gender","Female"
"6",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",35.2,"Education","Less than high school"
"7",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",33.5,"Education","High school graduate"
"8",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34.4,"Education","Some college or technical school"
"9",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.8,"Education","College graduate"
"10",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",23.9,"Age (years)","18 - 24"
"11",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.3,"Age (years)","25 - 34"
"12",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34.1,"Age (years)","35 - 44"
"13",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",39.7,"Age (years)","45 - 54"
"14",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",40.3,"Age (years)","55 - 64"
"15",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.9,"Age (years)","65 or older"
"16",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",40.8,"Income","Less than $15,000"
"17",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",35.2,"Income","$15,000 - $24,999"
"18",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",29,"Income","$25,000 - $34,999"
"19",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34.5,"Income","$35,000 - $49,999"
"20",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34.5,"Income","$50,000 - $74,999"
"21",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.9,"Income","$75,000 or greater"
"22",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.4,"Income","Data not reported"
"23",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.1,"Race/Ethnicity","Non-Hispanic White"
"24",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",44.1,"Race/Ethnicity","Non-Hispanic Black"
"25",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",24.1,"Race/Ethnicity","Hispanic"
"26",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Asian"
"27",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",NA,"Race/Ethnicity","Hawaiian/Pacific Islander"
"28",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",26.5,"Race/Ethnicity","American Indian/Alaska Native"
"29",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",18.5,"Race/Ethnicity","2 or more races"
"30",2012,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",24.4,"Race/Ethnicity","Other"
"31",2014,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.9,"Gender","Female"
"32",2012,"National","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28,"Gender","Male"
"33",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.4,"Total","Total"
"34",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.9,"Gender","Male"
"35",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",34,"Gender","Female"
"36",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",33.8,"Education","Less than high school"
"37",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",32.1,"Education","High school graduate"
"38",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",35.2,"Education","Some college or technical school"
"39",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",27.6,"Education","College graduate"
"40",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",19,"Age (years)","18 - 24"
"41",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",30.4,"Age (years)","25 - 34"
"42",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",36.7,"Age (years)","35 - 44"
"43",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",40,"Age (years)","45 - 54"
"44",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",37.1,"Age (years)","55 - 64"
"45",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",28.4,"Age (years)","65 or older"
"46",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",37.2,"Income","Less than $15,000"
"47",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",36.6,"Income","$15,000 - $24,999"
"48",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",33.1,"Income","$25,000 - $34,999"
"49",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",31.1,"Income","$35,000 - $49,999"
"50",2013,"Alabama","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity",35.8,"Income","$50,000 - $74,999"
